# AV Training Trials
# Session started: 2026-06-11T21:47:08.6096810-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280031200150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose,horizontal_angle_deg,vertical_angle_deg
322261,1,1,123,-5.00,left,6.600,321553,321553,322261,708,1,0.00,rehab,0,1,-5.00,0.00
324052,1,1,124,-5.00,left,6.600,323635,323635,324052,417,1,0.00,rehab,0,1,-5.00,0.00
326635,1,1,125,-5.00,left,6.750,326232,326232,326635,403,1,0.00,rehab,0,1,-5.00,0.00
329106,1,1,126,-5.00,left,6.750,328620,328620,329106,486,1,0.00,rehab,0,1,-5.00,0.00
331883,1,1,127,-5.00,left,6.900,331230,331230,331883,653,1,0.00,rehab,0,1,-5.00,0.00
335118,1,1,128,-5.00,left,6.900,334271,334271,335118,847,1,0.00,rehab,0,1,-5.00,0.00
337076,1,1,129,8.00,right,7.050,336562,336562,337076,514,1,0.00,right_control,1,0,8.00,0.00
339214,1,1,130,-5.00,left,7.050,338700,338700,339214,514,1,0.00,rehab,0,1,-5.00,0.00
341560,1,1,131,-5.00,left,7.050,340991,340991,341560,569,1,0.00,rehab,0,1,-5.00,0.00
344726,1,1,132,-5.00,left,7.200,343990,343990,344726,736,1,0.00,rehab,0,1,-5.00,0.00
346753,1,1,133,-5.00,left,7.200,346170,346170,346753,583,1,0.00,rehab,0,1,-5.00,0.00
349044,1,1,134,-5.00,left,7.350,348447,348447,349044,597,1,0.00,rehab,0,1,-5.00,0.00
351904,1,1,135,8.00,right,7.350,351363,351363,351904,542,1,0.00,right_control,1,0,8.00,0.00
354154,1,1,136,-5.00,left,7.350,353515,353515,354154,639,1,0.00,rehab,0,1,-5.00,0.00
356847,1,1,137,-5.00,left,7.500,356139,356139,356847,708,1,0.00,rehab,0,1,-5.00,0.00
359444,1,1,138,-5.00,left,7.500,358875,358875,359444,569,1,0.00,rehab,0,1,-5.00,0.00
363095,1,1,139,-5.00,left,7.650,361582,361582,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
366511,1,1,140,-5.00,left,7.500,364998,364998,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
368455,1,1,141,-5.00,left,7.350,368066,368066,368455,389,1,0.00,rehab,0,1,-5.00,0.00
370635,1,1,142,-5.00,left,7.350,370079,370079,370635,555,1,0.00,rehab,0,1,-5.00,0.00
373259,1,1,143,-5.00,left,7.500,372773,372773,373259,486,1,0.00,rehab,0,1,-5.00,0.00
375439,1,1,144,-5.00,left,7.500,375022,375022,375439,417,1,0.00,rehab,0,1,-5.00,0.00
378368,1,1,145,-5.00,left,7.650,377674,377674,378368,694,1,0.00,rehab,0,1,-5.00,0.00
380243,1,1,146,-5.00,left,7.650,379771,379771,380243,472,1,0.00,rehab,0,1,-5.00,0.00
382700,1,1,147,-5.00,left,7.800,382145,382145,382700,555,1,0.00,rehab,0,1,-5.00,0.00
385477,1,1,148,-5.00,left,7.800,384811,384811,385477,666,1,0.00,rehab,0,1,-5.00,0.00
388102,1,1,149,-5.00,left,7.950,387657,387657,388102,444,1,0.00,rehab,0,1,-5.00,0.00
390753,1,1,150,8.00,right,7.950,390295,390295,390753,458,1,0.00,right_control,1,0,8.00,0.00
393628,1,1,151,-5.00,left,7.950,392989,392989,393628,639,1,0.00,rehab,0,1,-5.00,0.00
396724,1,1,152,-5.00,left,8.100,395821,395821,396724,902,1,0.00,rehab,0,1,-5.00,0.00
399140,1,1,153,-5.00,left,8.100,398459,398459,399140,680,1,0.00,rehab,0,1,-5.00,0.00
400986,1,1,154,-5.00,left,8.250,400376,400376,400986,611,1,0.00,rehab,0,1,-5.00,0.00
403694,1,1,155,5.00,right,8.250,403250,403250,403694,444,1,0.00,right_control,1,0,5.00,0.00
406138,1,1,156,-5.00,left,8.250,405485,405485,406138,653,1,0.00,rehab,0,1,-5.00,0.00
409262,1,1,157,-5.00,left,8.400,408526,408526,409262,736,1,0.00,rehab,0,1,-5.00,0.00
411678,1,1,158,-5.00,left,8.400,410983,410983,411678,694,1,0.00,rehab,0,1,-5.00,0.00
414732,1,1,159,-5.00,left,8.550,414163,414163,414732,569,1,0.00,rehab,0,1,-5.00,0.00
417301,1,1,160,-5.00,left,8.550,416870,416870,417301,430,1,0.00,rehab,0,1,-5.00,0.00
419495,1,1,161,-5.00,left,8.700,419009,419009,419495,486,1,0.00,rehab,0,1,-5.00,0.00
422383,1,1,162,-5.00,left,8.700,421702,421702,422383,680,1,0.00,rehab,0,1,-5.00,0.00
425257,1,1,163,-5.00,left,8.850,424743,424743,425257,514,1,0.00,rehab,0,1,-5.00,0.00
427770,1,1,164,-5.00,left,8.850,427187,427187,427770,583,1,0.00,rehab,0,1,-5.00,0.00
430436,1,1,165,5.00,right,9.000,430047,430047,430436,389,1,0.00,right_control,1,0,5.00,0.00
